artists,artists_id
"['DAVID AUGUST', 'Wanja']","['spotify:artist:1cS5EoXVqz7aON00AkVBBA', 'spotify:artist:0dyfw09UeYhj0UME0HUVhd']"
"['Lost Desert', 'Lee Burridge']","['spotify:artist:6N2bCZFo999TqhtdPTnLyq', 'spotify:artist:0334oJHhRSKJRHKpE9i62h']"
Grandbrothers,spotify:artist:62Jwsvqi7hW8TR9rAcfBXY
Rival Consoles,spotify:artist:05lIUgmmsmTX2N9dCKc8rC
"['Marvin & Guy', 'Fantastic Twins']","['spotify:artist:6mUe67fPenWJZXz5JalmjF', 'spotify:artist:6da8OOYjq640zH3b4e4wci']"
"['Yoko Duo', 'Lake People']","['spotify:artist:3qS9rCN3k1e6uBRYzuxqAf', 'spotify:artist:6YTWss7MFcjsJRDgmtqO2l']"
"['Crussen', 'Lambert']","['spotify:artist:79OTUKSZMGMmmR32RWG2ig', 'spotify:artist:6pSQcy8935ABNiK2qOpOlK']"
"['Ian Pooley', 'Dixon']","['spotify:artist:1m4GViPjIy4T8Pd0Iz6hRS', 'spotify:artist:3wc57nV2fGEoM8x4xPK1O9']"
Figaro Castello,spotify:artist:5Ry3FXe5PMGIUxcADr3a4n
Voon,spotify:artist:3k3TosKi0Ad218nkHmSwTn
"['Ephemerals', 'Laolu']","['spotify:artist:3iKatcdLBE1YxiAyvcow4w', 'spotify:artist:53PSeUFq8tMZc0zdd1oUTG']"
"['Ruggero Leoncavallo', 'Luciano Pavarotti', 'Daniela Dessi', 'Juan Pons', 'Philadelphia Orchestra', 'Riccardo Muti']","['spotify:artist:72auy9NefUbGecYVrTiPzq', 'spotify:artist:0Y8KmFkKOgJybpVobn1onU', 'spotify:artist:4h1gYe0R5XFHJubucsIoub', 'spotify:artist:3btGZYgzsBg0AUiL1gRyJV', 'spotify:artist:6tdexW8bZTG8NgOFUCYQn1', 'spotify:artist:7silW8RiEOoLBgAg5JBCL1']"
WhoMadeWho,spotify:artist:50Lr1puweM1hFsF1LpIZLM
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
Tensnake,spotify:artist:75nC6MXUalYZSOd7OfNkwq
Patrice Bäumel,spotify:artist:5OvpF1A65DXs93M9NfPIjT
Agar Agar,spotify:artist:5TkylUv5ysSbNoawmn3PBj
Bent,spotify:artist:59xljcfdN2Z9VX2U5RFKEa
"['I Have A Tribe', 'Frank Wiedemann']","['spotify:artist:7vs2Dt73ugstATPcb2LELu', 'spotify:artist:1gbnoyNZEf6K9HytIv1D94']"
Bedouin,spotify:artist:5bKdC6382t97Qnpvs81Rqx
