added_at_playlist,uri,username,name,popularity,duration_ms,is_explicit,album_name,album_release_date
2015-02-02T15:12:01Z,spotify:track:738J023eio9C4ViccIAQnD,Lina,You & I (Nobody in the World) - R3hab Remix - Radio Edit,36,194746,False,You & I (Nobody in the World) [R3hab Remix - Radio Edit],2014-09-02
2015-02-02T14:54:28Z,spotify:track:2NvJ4gxNHy4irhjWGNOP6k,Lina,A Story of Boy Meets Girl,32,95386,False,(500) Days of Summer (Music from the Motion Picture),2009-07-10
2015-02-02T14:54:28Z,spotify:track:0jHuggE1BEu6e278g8JxbL,Lina,Us - 2005 Remaster,42,288773,False,(500) Days of Summer (Music from the Motion Picture),2009-07-10
2015-02-02T14:54:28Z,spotify:track:0jhukQEMC1yj47NetTlDBJ,Lina,There Is a Light That Never Goes Out,0,242906,False,(500) Days of Summer (Music from the Motion Picture),2009-07-10
2015-02-02T14:54:28Z,spotify:track:16XNMRA2Mu2xsEJtDSVZuy,Lina,Bad Kids,0,128813,False,(500) Days of Summer (Music from the Motion Picture),2009-07-10
2015-02-02T14:54:28Z,spotify:track:6zOcJQreuf9EEbuuxT8aHN,Lina,"Please, Please, Please, Let Me Get What I Want",0,111573,False,(500) Days of Summer (Music from the Motion Picture),2009-07-10
2015-02-02T14:54:28Z,spotify:track:1By97L6ge5FLBMD3PT6jXo,Lina,There Goes The Fear,0,415493,False,(500) Days of Summer (Music from the Motion Picture),2009-07-10
2015-02-02T14:54:28Z,spotify:track:0293bTPojlkLvyr8ojc74y,Lina,You Make My Dreams,0,191480,False,(500) Days of Summer (Music from the Motion Picture),2009-07-10
2015-02-02T14:54:28Z,spotify:track:5nWbbQ0sIEabqPxAdqmh66,Lina,Sweet Disposition,0,234680,False,(500) Days of Summer (Music from the Motion Picture),2009-07-10
2015-02-02T14:54:28Z,spotify:track:56vZZgYpNhIEwEpMkBui46,Lina,Quelqu'un M'a Dit,0,163026,False,(500) Days of Summer (Music from the Motion Picture),2009-07-10
2015-02-02T14:54:28Z,spotify:track:0mqY9ZkUmc5ZH5uRkpqBWO,Lina,Mushaboom,0,224106,False,(500) Days of Summer (Music from the Motion Picture),2009-07-10
2015-02-02T14:54:28Z,spotify:track:1yq1taCTc0NemVQmdDEmlg,Lina,Bookends,0,80866,False,(500) Days of Summer (Music from the Motion Picture),2009-07-10
2015-02-02T14:54:28Z,spotify:track:12OfhDq4NNJnV1LKSRaQOD,Lina,Vagabond,0,227053,False,(500) Days of Summer (Music from the Motion Picture),2009-07-10
2015-02-02T14:54:28Z,spotify:track:4l8JldeQzin1YTymhzsw5T,Lina,She's Got You High,0,205706,False,(500) Days of Summer (Music from the Motion Picture),2009-07-10
2015-02-02T14:54:28Z,spotify:track:3NxJhRiMCo1hyMsnJ9vp06,Lina,Here Comes Your Man,37,193960,False,(500) Days of Summer (Music from the Motion Picture),2009-07-10
2015-02-02T14:54:28Z,spotify:track:3XcYPyuk0BwiB4w6tgKpOC,Lina,"Please, Please, Please, Let Me Get What I Want",41,132493,False,(500) Days of Summer (Music from the Motion Picture),2009-07-10
2015-02-02T14:14:52Z,spotify:track:2uFnBffkiLcEbNHiI3ayBE,Lina,Money On My Mind,0,192670,False,In The Lonely Hour (Deluxe),2014-07-15
2015-02-02T14:14:49Z,spotify:track:6WNqOfvfqmbyCk23ejRBwO,Lina,I'm Not The Only One,0,222329,False,I'm Not The Only One,2014-09-11
2015-02-02T14:11:17Z,spotify:track:6x69yrZAJvsYxhk0CJS4uT,Lina,Lay Me Down,0,229014,False,Lay Me Down,2013-02-17
2015-02-02T14:05:07Z,spotify:track:6o6BDZSsiWPL8e3k2VvetD,Lina,Leave Your Lover,0,188377,False,In The Lonely Hour (Deluxe),2014-07-15
2015-02-02T14:00:48Z,spotify:track:0fioLzGM8ngbD1w6fMmm45,Lina,I'm Not The Only One,5,239316,False,In The Lonely Hour,2014-01-01
2015-01-31T00:17:13Z,spotify:track:0muB5NEjvNpo9MVNVDXbku,Lina,Right By Your Side,0,299533,False,The Awakening,2011-01-01
2015-01-31T00:09:31Z,spotify:track:05ZVTnFGjDTnzQHMxK0Bir,Lina,Please Don't Stop The Rain,51,234266,False,"Songs For You, Truths For Me (International Exclusive Bundle)",2008-01-01
2015-01-31T00:09:12Z,spotify:track:3scVMDajY2Eb3nzyGT7HWC,Lina,Wires,0,193080,False,I'm Sorry...,2012
2015-01-31T00:07:37Z,spotify:track:03XjpGGdsIPouALXem2Cku,Lina,Love Is A Verb,58,144400,False,Born and Raised,2012-05-18
2015-01-30T13:59:24Z,spotify:track:0EUSbTvyZfo9QOcxunL9Ro,Lina,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",60,345626,False,Where the Light Is: John Mayer Live In Los Angeles,2008
2015-01-30T13:58:32Z,spotify:track:4cFzMdlThB5hkWj9cgsmqL,Lina,Slave To The Music - Acoustic Version Bonus Track,27,215446,False,The Awakening,2011-01-01
2015-01-30T04:56:56Z,spotify:track:21nHVGfxQJQMTOi6Rg35dd,Lina,In My Dreams,44,284924,False,The Awakening,2011-01-01
2015-01-30T04:43:56Z,spotify:track:68ABBreS3qqAFsroDnDVx3,Lina,All Around The World - Bonus Track,29,197582,False,The Awakening,2011-01-01
2015-01-30T03:38:36Z,spotify:track:5DazV5viPRaEq95p6i0Fyg,Lina,Hammers And Hearts,24,175706,False,On The Strength Of All Convinced,2005-08-29
2015-01-28T22:01:58Z,spotify:track:5J4ZkQpzMUFojo1CtAZYpn,Lina,Love Me Harder,77,236133,False,My Everything (Deluxe),2014-08-25
2015-01-28T21:56:42Z,spotify:track:7ALocsnSAmnpZ3Uw9WP1Hz,Lina,At Last,7,116346,False,Rockin Romance,2012-11-08
2015-01-28T21:41:38Z,spotify:track:0CoM8prDI39VQ39dLnBfZx,Lina,Sun,0,197813,False,Punk Goes Acoustic 2,2007
2015-01-28T21:32:24Z,spotify:track:5trvqRdUcKuc0DDgrDksJQ,Lina,Debussie,17,150080,False,On The Strength Of All Convinced,2005-08-29
2015-01-28T21:02:12Z,spotify:track:0HLWvLKQWpFdPhgk6ym58n,Lina,Who Says,67,175480,False,Battle Studies,2009-11-13
2015-01-28T21:01:47Z,spotify:track:6atVS7UZBxoyJkkteM62u5,Lina,Clarity,59,271426,False,Heavier Things,2003-09-09
2015-01-28T20:45:29Z,spotify:track:1ptE7qQ0Bye8udglbz9UmZ,Lina,Clap Your Hands,1,238436,False,We Are Born (ARIA Awards Edition),2010-11-05
2015-01-28T17:39:35Z,spotify:track:5C4MXy953cdZfppoil8X4X,Lina,Tightrope - Live From Spotify NYC,17,220733,False,Spotify Sessions,2012-06-19
2015-01-28T17:25:51Z,spotify:track:46moTNsGydR2SEgHZuRe8R,Lina,Daffodils (feat. Kevin Parker),1,298133,False,Daffodils (feat. Kevin Parker),2014-12-23
2015-01-28T17:24:41Z,spotify:track:3U1TuSqHIubBA10cVP7Sk6,Lina,I Think I'm In Love,74,202666,True,My Garden,2015-01-09
2015-01-28T17:21:33Z,spotify:track:5ufmXqULgMsDIDSkSaXw1E,Lina,Our Own House,0,232226,False,Our Own House,2015-01-13
2015-01-28T17:14:26Z,spotify:track:3OIcwEw520Kp2mpDNFpZuG,Lina,Lord Pretty Flacko Jodye 2 (LPFJ2),22,126200,False,Lord Pretty Flacko Jodye 2 (LPFJ2),2015-01-07
2015-01-28T17:13:07Z,spotify:track:2ZZQWecPCMvtj5M9b3bjys,Lina,begin again,0,217201,False,begin again,2015-01-13
2015-01-26T05:25:23Z,spotify:track:3pcj5YHe8Qx5ZS1O5a9pmJ,Lina,This Boy,32,232146,False,Undiscovered,2006-01-01
2015-01-26T04:24:21Z,spotify:track:08kTO4EW0jb07zNsCNM83w,Lina,Chariot,60,239173,False,Chariot - Stripped,2004-07-26
2015-01-26T04:19:52Z,spotify:track:3zcmWxxUA7Em7X3IBqZGUo,Lina,In Love With a Girl,52,206000,False,Gavin DeGraw,2008-05-06
