artists,artists_id
"['Babyfather', 'Micachu']","['spotify:artist:3DmDJOQgrwlq8MxXGLeFvA', 'spotify:artist:50Dd971ruHE4jP4gI7l1Qa']"
CCFX,spotify:artist:28tPuyqMVd3L51JmH9RpGZ
Boy Harsher,spotify:artist:4iom7VVRU6AHRIu1JUXpLG
Yves Tumor,spotify:artist:0qu422H5MOoQxGjd4IzHbS
Kedr Livanskiy,spotify:artist:7deuX0YejjlcB4uLcdgEDW
Kedr Livanskiy,spotify:artist:7deuX0YejjlcB4uLcdgEDW
Tropic of Cancer,spotify:artist:3qFOpjNiYRuQNVl564TGgO
Dream Affair,spotify:artist:7xve8FgqDfOev31fwhlpkQ
Boy Harsher,spotify:artist:4iom7VVRU6AHRIu1JUXpLG
Thom Yorke,spotify:artist:4CvTDPKA6W06DRfBnZKrau
Kedr Livanskiy,spotify:artist:7deuX0YejjlcB4uLcdgEDW
Radiohead,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb
The Pastels,spotify:artist:4Nu0EL8c5d2vFHPOcNjlBP
Yung Lean,spotify:artist:67lytN32YpUxiSeWlKfHJ3
Yung Lean,spotify:artist:67lytN32YpUxiSeWlKfHJ3
Chromatics,spotify:artist:4tOVIRjlWWfR1RrAxyRqTE
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Boy Harsher,spotify:artist:4iom7VVRU6AHRIu1JUXpLG
Animal Collective,spotify:artist:4kwxTgCKMipBKhSnEstNKj
Xiu Xiu,spotify:artist:5JLqvjW3Nyom2OsRUyFsS9
Them Are Us Too,spotify:artist:5momCJTdVuC4H9xHhYkaiK
Boy Harsher,spotify:artist:4iom7VVRU6AHRIu1JUXpLG
ABRA,spotify:artist:3ZJxEmjYZd5VOqZ8o3aXiL
ABRA,spotify:artist:3ZJxEmjYZd5VOqZ8o3aXiL
ABRA,spotify:artist:3ZJxEmjYZd5VOqZ8o3aXiL
Them Are Us Too,spotify:artist:5momCJTdVuC4H9xHhYkaiK
David Bowie,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy
Drab Majesty,spotify:artist:2CSEKlTT9empsZ8vZWsrKO
death's dynamic shroud,spotify:artist:1F31FB7Y6ic4844PbqMf7c
IDLES,spotify:artist:75mafsNqNE1WSEVxIKuY5C
Chromatics,spotify:artist:4tOVIRjlWWfR1RrAxyRqTE
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Them Are Us Too,spotify:artist:5momCJTdVuC4H9xHhYkaiK
Red House Painters,spotify:artist:2GATzeg62cr6sH29wSOVWe
"['Jean Grae', 'Quelle Chris', 'dane.zone']","['spotify:artist:2ipBhKpOYqs6BbysLNGye6', 'spotify:artist:2SlUrJAcTYbWR8GcmB9IEi', 'spotify:artist:65zHIhyypfDuK4QVcj6Wsz']"
BOAN,spotify:artist:0Ju3YcuK3eL68zOIA1C8Te
２８１４,spotify:artist:2wBpW4bAGYVe0yJcBeCTyd
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Against All Logic,spotify:artist:0ngUeF0DGpYmPec80MqSi1
Duster,spotify:artist:5AyEXCtu3xnnsTGCo4RVZh
Have A Nice Life,spotify:artist:0FRKTwQSToXpCxYMhyUzYY
Black Marble,spotify:artist:6Nii4K84ZzBZS8X2MP8c9t
Negative Gemini,spotify:artist:3SU7pCbOPCUMboKnxMvHVW
George Clanton,spotify:artist:1G5v3lpMz7TeoW0yGpRQHr
George Clanton,spotify:artist:1G5v3lpMz7TeoW0yGpRQHr
James Ferraro,spotify:artist:2gjrgz4DNYGrvQOpqLr2nv
Negative Gemini,spotify:artist:3SU7pCbOPCUMboKnxMvHVW
Against All Logic,spotify:artist:0ngUeF0DGpYmPec80MqSi1
Jenny Hval,spotify:artist:5eerVxtb9lY9p6D7m89Bs7
Julia Holter,spotify:artist:0bsV0sUjnCuCTYOnNHQl3E
George Clanton,spotify:artist:1G5v3lpMz7TeoW0yGpRQHr
Have A Nice Life,spotify:artist:0FRKTwQSToXpCxYMhyUzYY
Against All Logic,spotify:artist:0ngUeF0DGpYmPec80MqSi1
Broadcast,spotify:artist:0WtTGUjbur1R1cNzBvbsMU
Floating Points,spotify:artist:2AR42Ur9PcchQDtEdwkv4L
Susumu Yokota,spotify:artist:3ND5NWoKzlelYDDyWqSQpQ
Brian Eno,spotify:artist:7MSUfLeTdDEoZiJPDSBXgi
Carla dal Forno,spotify:artist:6FVxEgfQsGrJ0BogIOYCd6
Dean Blunt & Inga Copeland,spotify:artist:740Ceiz1tmDm3cJ6UuYL4M
John Cale,spotify:artist:5MWBg16f5UYiaSlyVhzlIW
Ariel Pink,spotify:artist:5H0YoDsPDi9fObFmJtTjfN
"['Brian Eno', 'Kevin Shields']","['spotify:artist:7MSUfLeTdDEoZiJPDSBXgi', 'spotify:artist:6egkD3KNbPuvrNLuWpB0bM']"
Too Free,spotify:artist:4MLpldnZ5Eg4VsQD0ZQkAQ
Ryuichi Sakamoto,spotify:artist:1tcgfoMTT1szjUeaikxRjA
"['Maurice Ravel', 'André Laplante']","['spotify:artist:17hR0sYHpx7VYTMRfFUOmY', 'spotify:artist:3wBPUdIKGpmOpm6EvuLKMj']"
Negative Gemini,spotify:artist:3SU7pCbOPCUMboKnxMvHVW
Laurie Anderson,spotify:artist:5hqB3Fxgin9YGYa0mIGf1G
Sonic Youth,spotify:artist:5UqTO8smerMvxHYA5xsXb6
Sonic Youth,spotify:artist:5UqTO8smerMvxHYA5xsXb6
Negative Gemini,spotify:artist:3SU7pCbOPCUMboKnxMvHVW
Craig Leon,spotify:artist:2TFlUuw1I60a1Qbyl3Qmfs
"['American Football', 'Elizabeth Powell']","['spotify:artist:5FwydyGVcsQllnM4xM6jw4', 'spotify:artist:3Jdpn4D3iazRmlHz3p3Bm8']"
"['KH', 'Four Tet']","['spotify:artist:7nwdEDnfgNpPhWQCXX3KSx', 'spotify:artist:7Eu1txygG6nJttLHbZdQOh']"
Negative Gemini,spotify:artist:3SU7pCbOPCUMboKnxMvHVW
Daughters,spotify:artist:1LhK7wn59Hq6GNN4sUS3ih
Nick Cave & The Bad Seeds,spotify:artist:4UXJsSlnKd7ltsrHebV79Q
Sonic Youth,spotify:artist:5UqTO8smerMvxHYA5xsXb6
Deakin,spotify:artist:6JSybS5o47NUTNFQauvxUY
Deakin,spotify:artist:6JSybS5o47NUTNFQauvxUY
Negative Gemini,spotify:artist:3SU7pCbOPCUMboKnxMvHVW
George Clanton,spotify:artist:1G5v3lpMz7TeoW0yGpRQHr
Julia Holter,spotify:artist:0bsV0sUjnCuCTYOnNHQl3E
Julia Holter,spotify:artist:0bsV0sUjnCuCTYOnNHQl3E
Car Seat Headrest,spotify:artist:5PbpKlxQE0Ktl5lcNABoFf
Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK
Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK
Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK
