uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:3l9OCOG3Vt6c2lxeMyGSIY,0.355,0.126,11,-13.801,1,0.0301,0.909,0.000337,0.131,0.102,109.769
spotify:track:7ySbfLwdCwl1EM0zNCJZ38,0.568,0.495,1,-8.964,1,0.0299,0.353,0,0.0839,0.303,128.234
spotify:track:5zn1hpm9N0ylKB7kOtpCw2,0.721,0.723,2,-7.08,0,0.0631,0.102,4.4e-06,0.0651,0.761,88.933
spotify:track:28m6MjBq0EAAuBkZcUouQu,0.678,0.838,1,-4.963,0,0.0301,0.104,0.00131,0.209,0.276,134.048
spotify:track:1AM1o0mKbgAK5oMpY8B3Z7,0.592,0.562,10,-6.869,0,0.0239,0.00373,3.23e-05,0.223,0.208,90.16
spotify:track:3c6afiysmB7OnxQzzSqRfD,0.656,0.479,7,-7.055,0,0.0348,0.0665,0.00272,0.168,0.708,184.374
spotify:track:2E9Zp0uxsOmqbmy0C6Fi4N,0.561,0.354,9,-10.34,1,0.0494,0.54,0,0.771,0.408,130.642
spotify:track:1RS3LStQYhju50eBdD9Uul,0.348,0.532,10,-5.882,1,0.0331,0.592,0,0.106,0.148,129.297
spotify:track:6fYzIQu8GcVolShnuIsB4B,0.79,0.874,8,-5.56,0,0.0812,0.0355,2.99e-05,0.0823,0.771,127.872
spotify:track:7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891
spotify:track:2neMQfiGrFXt2vKgvV8Yid,0.615,0.386,7,-10.276,0,0.0337,0.655,0,0.107,0.474,120.89
spotify:track:71EHOyEOhNx1SzTebRRyng,0.693,0.533,2,-10.954,0,0.0402,0.107,0,0.0695,0.568,127.661
spotify:track:4kbz7rHVbyjKasuuqelccQ,0.512,0.525,5,-6.823,1,0.0401,0.327,3.3e-06,0.081,0.294,169.951
spotify:track:4oGTdOClZUxcM2H3UmXlwL,0.495,0.595,11,-7.57,1,0.0443,0.246,0,0.236,0.392,85.341
spotify:track:3hYctzBStAGPRvahcZmJJF,0.608,0.531,0,-9.549,1,0.028,0.534,7.17e-06,0.183,0.328,110.092
spotify:track:7tjbm60E0t7SerbiG61cce,0.765,0.48,8,-7.896,1,0.0448,0.0434,0.0147,0.0687,0.641,134.035
spotify:track:2N5CvukjQqiWxjzZLMqqBN,0.776,0.563,0,-8.84,1,0.0324,0.223,0.00611,0.0681,0.395,131.728
spotify:track:2x5qF66rFO6DERBMNkQAqn,0.58,0.922,1,-3.785,1,0.0957,0.0917,0,0.189,0.649,89.841
spotify:track:4alLyN9my0O1SD9y097cPl,0.709,0.469,11,-7.083,0,0.0278,0.504,0,0.045,0.256,113.986
spotify:track:0gPQTLaqHDgdupKEok7J2x,0.659,0.812,4,-7.499,0,0.0487,0.23,0,0.0951,0.888,83.014
spotify:track:7yxwAEwY9LD120AcB4nGJx,0.636,0.558,7,-7.076,1,0.0245,0.462,0,0.062,0.572,100.113
spotify:track:4T26YGUHTE5LLbb8xnTHPL,0.677,0.617,6,-5.075,1,0.031,0.126,0,0.0447,0.555,98.062
spotify:track:1YqxCr7R5HSOg9s9X137HO,0.774,0.614,1,-4.582,1,0.0393,0.251,0,0.0605,0.193,129.979
spotify:track:7Ewz6bJ97vUqk5HdkvguFQ,0.382,0.589,9,-7.315,0,0.0267,0.0465,0,0.122,0.335,140.059
spotify:track:63CHa6rmamv9OsehkRD8oz,0.58,0.498,1,-6.901,1,0.0277,0.198,0,0.132,0.111,116.271
spotify:track:2oCYHHkzCMpVKkfaO07m5v,0.527,0.442,1,-7.131,1,0.0273,0.202,0,0.104,0.287,131.186
spotify:track:5TGHpNdHeV5cqsJfkOO4Zd,0.669,0.297,4,-20.375,1,0.031,0.483,0.0952,0.111,0.627,140.554
spotify:track:7dQC53NiYOY9gKg3Qsu2Bs,0.513,0.262,0,-16.875,1,0.0276,0.313,5.51e-06,0.456,0.357,108.383
spotify:track:4fZDZMgyWBxTg2Rc4OHVtB,0.569,0.591,8,-7.399,1,0.0307,0.165,6.65e-06,0.132,0.431,130.868
spotify:track:4c0rkFPszqQTyC753tsCMU,0.885,0.477,6,-9.196,0,0.0664,0.000131,0.000664,0.336,0.691,130.078
spotify:track:32B8AiPUAmlzbS7ayCsMF7,0.504,0.642,8,-5.059,1,0.0277,0.0392,0.00025,0.298,0.254,158.031
spotify:track:5919i3Sp9U2IE5m7hhlgSw,0.381,0.415,0,-10.298,1,0.0691,0.675,0,0.0795,0.257,61.908
spotify:track:5MDQNJ7SZTytJwCbWKqJDL,0.41,0.468,11,-8.177,1,0.0553,0.298,1.19e-05,0.0426,0.475,177.508
spotify:track:2ttZiP54qV6URjYIEypEZJ,0.829,0.915,8,-3.205,1,0.106,0.226,1.25e-05,0.246,0.779,118.903
spotify:track:4pmc2AxSEq6g7hPVlJCPyP,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997
spotify:track:0BUoLE4o9eVahDHvTqak67,0.648,0.622,7,-6.063,1,0.0428,0.00152,5.97e-05,0.109,0.51,88.684
spotify:track:2aBxt229cbLDOvtL7Xbb9x,0.65,0.531,4,-8.335,1,0.0364,0.457,0,0.249,0.487,78.946
spotify:track:7vqcDtNvoJn5pXhktc8qe8,0.69,0.739,3,-11.513,0,0.059,0.0127,0.905,0.0744,0.384,125.007
spotify:track:4ApmPo6H0bH7PExQV25LDh,0.611,0.571,2,-9.441,1,0.0317,0.0195,0.815,0.0988,0.039,123.0
spotify:track:4NjR63Up0uMkQBlKvlZd1l,0.655,0.54,9,-6.482,1,0.0516,0.268,0,0.068,0.43,79.983
spotify:track:6xkryXuiZU360Lngd4sx13,0.669,0.727,7,-7.588,1,0.0353,0.139,0,0.123,0.807,102.322
spotify:track:2M2WJ7gBlcKNxdhyfPp9zY,0.784,0.713,0,-6.865,1,0.0339,0.447,0.14,0.0904,0.97,115.443
spotify:track:5lgZax3wvO1oW3Bn0p9veJ,0.634,0.488,0,-7.163,1,0.0255,0.433,0.0208,0.141,0.281,99.95
spotify:track:0uEp9E98JB5awlA084uaIg,0.535,0.505,2,-8.926,0,0.245,0.0393,0,0.0923,0.495,99.935
spotify:track:43zr9kKkeiQrshvYuvNtfM,0.738,0.914,2,-4.203,1,0.0434,0.144,0.00099,0.182,0.935,127.885
spotify:track:1GrikfH0jDejDvrxo84n4P,0.873,0.593,7,-8.942,1,0.103,0.078,0.00697,0.104,0.495,123.091
spotify:track:3ClOMebBxeNTYCOfTH24YJ,0.91,0.641,7,-11.316,1,0.0589,0.0258,6.42e-05,0.0642,0.903,118.533
spotify:track:4k0bXm9Q4RaTuYi09i4lKK,0.86,0.705,10,-12.514,0,0.0894,0.107,8.87e-06,0.149,0.854,134.395
spotify:track:3HszEQiMdPTNcglWcnMGk3,0.268,0.56,2,-6.734,0,0.0471,0.521,0.207,0.0782,0.334,178.766
spotify:track:4jzLgYOoNF9TBU8EItFSFp,0.682,0.396,3,-7.316,0,0.0336,0.544,0.000687,0.081,0.206,126.041
spotify:track:7bvBOzSYbzUMg9ElqkWQiA,0.486,0.934,0,-3.253,1,0.0701,0.00248,0,0.0892,0.765,170.007
spotify:track:2w6zOxgxy8XZDCPcGtuYQY,0.435,0.933,2,-5.572,1,0.0851,0.0133,0,0.229,0.374,169.976
spotify:track:08Uz2WDG2HpZwCX7qOn7OJ,0.771,0.849,6,-7.241,0,0.0522,0.000847,0.768,0.0839,0.293,119.994
spotify:track:13QBrKQx6FEl03szDe5AOp,0.446,0.361,6,-12.262,1,0.0445,0.012,0.00806,0.0821,0.0902,122.996
spotify:track:30QNjcM3Q1GnLFIIJjWQL1,0.388,0.0859,7,-16.061,0,0.0472,0.969,7.35e-05,0.108,0.19,88.253
