artists,artists_id
Chaka Khan,spotify:artist:6mQfAAqZGBzIfrmlZCeaYT
Ghost Town DJs,spotify:artist:4JbmXqez7WvTggoxn3UpVT
Binocular,spotify:artist:5LF6ocXwOQC7TMddAbC3zK
Voices of Theory,spotify:artist:7xojBGlLd0SGscMIL31gdV
Paula Cole,spotify:artist:08DLZqQd6XDAVteF9nSEJ1
Christina Aguilera,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS
Destiny's Child,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i
TLC,spotify:artist:0TImkz4nPqjegtVSMZnMRq
Mariah Carey,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ
"['Maceo Plex', 'Gabriel Ananda']","['spotify:artist:3TXQ1ddouwQAI78hV4hXDj', 'spotify:artist:3YpEUCjdLuPmBspkmoPYnX']"
"['Virtual Self', 'Lane 8']","['spotify:artist:0F52YLV7uWqaJfMMDgG737', 'spotify:artist:27gtK7m9vYwCyJ04zz0kIb']"
The Pussycat Dolls,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ
Mariah Carey,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ
The Emotions,spotify:artist:64CuUOOirKmdAYLQSfaOyr
Janet Jackson,spotify:artist:4qwGe91Bz9K2T8jXTZ815W
Ms. Lauryn Hill,spotify:artist:2Mu5NfyYm8n5iTomuKAEHl
Janet Jackson,spotify:artist:4qwGe91Bz9K2T8jXTZ815W
Janet Jackson,spotify:artist:4qwGe91Bz9K2T8jXTZ815W
CHIC,spotify:artist:0Xf8oDAJYd2D0k3NLI19OV
The Pointer Sisters,spotify:artist:2kreKea2n96dXjcyAU9j5N
Amason,spotify:artist:4cJKxS7uOPhwb5UQ70sYpN
Amason,spotify:artist:4cJKxS7uOPhwb5UQ70sYpN
Ida Maria,spotify:artist:2MCUVoI9J8LEqtHvf3X5ln
Ida Maria,spotify:artist:2MCUVoI9J8LEqtHvf3X5ln
"['Agoria', 'Blasé', 'Solomun']","['spotify:artist:4lu50np3LdTkRL09T7x8UP', 'spotify:artist:4PqSBgXKxQuqclKpwB6iuc', 'spotify:artist:5wJK4kQAkVGjqM9x46KQOC']"
"['Howling', 'RY X', 'Frank Wiedemann']","['spotify:artist:3WTWOrIS77vY3hkCFqTyIw', 'spotify:artist:2KjAo6wVc9d2WcxdxSArpV', 'spotify:artist:1gbnoyNZEf6K9HytIv1D94']"
Bruno Major,spotify:artist:0hDjKSKjl1DC7ovYTDJHe8
"['SHAED', 'ZAYN']","['spotify:artist:3KwmxIhSe9UTSEF37kwngR', 'spotify:artist:5ZsFI1h6hIdQRw2ti0hz81']"
"['R.LUM.R', 'Russ Macklin']","['spotify:artist:7JBZN2pehWRUu3fX11lP2y', 'spotify:artist:40510Z6tvHqGS0wE1EyTZL']"
"['Joywave', 'KOPPS']","['spotify:artist:1UfzhwcOR4yfX7yHTPfC9m', 'spotify:artist:3weGdWrlXcB3pcoctU1BDK']"
Joywave,spotify:artist:1UfzhwcOR4yfX7yHTPfC9m
